Timestamp,Experiment,Curve,Method,RMSE_Samples,RMSE_True,Max_Deviation,Mean_Distance,Hausdorff,Smoothness_Energy,Curvature_Std,Curvature_Max,Notes
2026-05-03 23:12:33,Exp1_Parameterization,Circle,Uniform,0.003638862369211757,0.0036348819361458314,0.006295699179221757,0.0031478520866211135,0.006295699179221757,1.2517808236339474e-05,0.0016185868261858675,1.0032942292219535,"均匀采样,n=30"
2026-05-03 23:12:33,Exp1_Parameterization,Circle,Chord,0.0036388623692116774,0.003634881936145317,0.006295699179221043,0.003147852086621096,0.006295699179221043,1.251780823633951e-05,0.0016185868261878887,1.0032942292215554,"均匀采样,n=30"
2026-05-03 23:12:33,Exp1_Parameterization,Circle,Centripetal,0.0036388623692117632,0.003634881936145674,0.006295699179222076,0.003147852086621149,0.006295699179222076,1.2517808236339545e-05,0.0016185868261988463,1.0032942292219535,"均匀采样,n=30"
2026-05-03 23:12:34,Exp1_Parameterization,Heart,Uniform,0.0597069236494387,0.06217674814040669,0.10711668973277198,0.05102358420932118,0.1080069849198371,0.016188884775899443,1.0292346357871263,16.155632606940937,"均匀采样,n=40"
2026-05-03 23:12:34,Exp1_Parameterization,Heart,Chord,0.06506279339198615,0.060478534243213845,0.12490204948211296,0.05379406017375732,0.14630507494428058,0.17574619348590623,0.24542619073232988,3.80993280406725,"均匀采样,n=40"
2026-05-03 23:12:34,Exp1_Parameterization,Heart,Centripetal,0.06150611147419182,0.0573050521451185,0.10709593227729321,0.0532443495384413,0.1518796411016077,0.023127421553997135,1.8281102254158867,28.831256865663757,"均匀采样,n=40"
2026-05-03 23:12:35,Exp1_Parameterization,Star,Uniform,0.008531046149222964,0.008539309330866883,0.01672950858650711,0.007171957477799332,0.016857796554191836,0.001239739998504814,2.4794398655378824,11.80180832296937,"均匀采样,n=50"
2026-05-03 23:12:35,Exp1_Parameterization,Star,Chord,0.008253628596747003,0.008335196534830221,0.01456412372225171,0.007112711046875598,0.01784860623424114,0.0019234103969288491,1.9365027456020936,12.084910574056448,"均匀采样,n=50"
2026-05-03 23:12:35,Exp1_Parameterization,Star,Centripetal,0.00814280089577037,0.008203162892378666,0.01435083451431755,0.006958584457281456,0.018101438350757077,0.0012535643403105202,2.1907018173259245,12.176260755783577,"均匀采样,n=50"
2026-05-03 23:12:36,Exp1_Parameterization,S-Curve,Uniform,0.0025930524588685315,3.757138436889733e-06,0.005288154662850117,0.0019969220749887447,1.3730697603644981e-05,6.271560191725391e-06,8.782758839651756,39.42793244978171,"均匀采样,n=30"
2026-05-03 23:12:36,Exp1_Parameterization,S-Curve,Chord,0.0020444501376164284,0.0026145673632592377,0.003955547032116232,0.0016171122332774652,0.0061925576555966234,5.9298829665897304e-05,4.828789045096747,38.88925443096079,"均匀采样,n=30"
2026-05-03 23:12:36,Exp1_Parameterization,S-Curve,Centripetal,0.0020954820610690544,0.002258780742883898,0.00414763980549243,0.0016940203521482401,0.00618353276467702,1.0666248364072238e-05,6.523110192374529,39.50395432711126,"均匀采样,n=30"
2026-05-03 23:12:37,Exp1_Parameterization_Nonuniform,Heart,Uniform,0.07101194410354923,0.4539564711405874,0.15576979357512008,0.05497434221380035,1.4779737366560695,0.26137797545348995,18.095823726274283,273.4745886502666,"非均匀采样,n=25"
2026-05-03 23:12:37,Exp1_Parameterization_Nonuniform,Heart,Chord,0.0493509205305201,0.19352933230818578,0.1031382294558212,0.039316861374111924,0.725959112745173,0.050660775105607514,0.9894864596434267,19.104777416442165,"非均匀采样,n=25"
2026-05-03 23:12:37,Exp1_Parameterization_Nonuniform,Heart,Centripetal,0.03889874322550663,0.3286762735474833,0.08264232703602685,0.0290285473685411,1.1317577896393074,0.0614417514512193,1.4200676823652114,26.942462258430968,"非均匀采样,n=25"
2026-05-03 23:12:39,Exp1_Parameterization_Nonuniform,Star,Uniform,0.009416400108995063,0.11824933214673043,0.02661542353066353,0.0073075937768599854,0.3309368192392193,0.003717047405503558,250.1197537142202,4988.427953520317,"非均匀采样,n=25"
2026-05-03 23:12:39,Exp1_Parameterization_Nonuniform,Star,Chord,0.0064284888318905786,0.09470908695595831,0.014366874946386075,0.005190608012805541,0.30005261920805865,0.0009480439186654929,1.7354834494076519,12.278379177690462,"非均匀采样,n=25"
2026-05-03 23:12:39,Exp1_Parameterization_Nonuniform,Star,Centripetal,0.006064138799725897,0.10419315760001932,0.011571959469392507,0.005137029398986487,0.3100635982133829,0.0013290446110965296,4.048560391593272,28.135949906115037,"非均匀采样,n=25"
2026-05-03 23:12:40,Exp1_Parameterization_Nonuniform,Random_Blob,Uniform,0.023472127265451986,0.1946320190067967,0.06306278907433169,0.016177850644926182,0.7146152492262874,0.015919646757263834,154.71442885514097,3424.639490797948,"非均匀采样,n=25"
2026-05-03 23:12:40,Exp1_Parameterization_Nonuniform,Random_Blob,Chord,0.01592539966262671,0.06060179160807929,0.032073226907999575,0.013297262588772151,0.19952861753412474,0.0007149302946541924,0.15668327524487777,0.799807907159568,"非均匀采样,n=25"
2026-05-03 23:12:40,Exp1_Parameterization_Nonuniform,Random_Blob,Centripetal,0.015004925389240632,0.1494976876229246,0.031125187211316664,0.012037952104069011,0.5676017965909504,0.003773751997853416,0.5868620536881509,6.259107273542839,"非均匀采样,n=25"
2026-05-03 23:12:41,Exp2_Noise_Robustness,Heart,Interpolation,0.05899152167765246,0.46681341314556596,0.1128132686453595,0.048124649229898564,1.3694505969923538,0.3303630851239371,1.7790820956720483,35.77331521771681,noise=0.02
2026-05-03 23:12:41,Exp2_Noise_Robustness,Heart,Smooth_Fitting,0.21833379630201794,0.4528573008132586,0.6120575735838881,0.170170101058647,1.20880644490536,0.2094261229299452,0.8888196903808396,10.091490612657674,"noise=0.02,s=2.0"
2026-05-03 23:12:42,Exp2_Noise_Robustness,Heart,Interpolation,0.08454732221051299,1.0174990137397109,0.16773575773607435,0.07013297324167064,3.2489719796777616,1.1911210978662004,6.6432750876659,124.21948996397312,noise=0.05
2026-05-03 23:12:42,Exp2_Noise_Robustness,Heart,Smooth_Fitting,0.27860139737557305,0.9744150720842352,0.5999250846431856,0.22395440353428614,3.207201596560981,0.5358671921913587,9.075458830150131,167.00289609197176,"noise=0.05,s=5.0"
2026-05-03 23:12:42,Exp2_Noise_Robustness,Heart,Interpolation,0.12190796451359232,1.172619602024594,0.25288692019831954,0.08791398607391104,6.311907627950434,5.046494303627577,7.463353414470255,106.37686002563197,noise=0.1
2026-05-03 23:12:42,Exp2_Noise_Robustness,Heart,Smooth_Fitting,0.42263146866478907,1.1565000266168497,1.1879341076527266,0.3167272067145494,6.262996219444432,3.164169780227679,76.53943131530146,1707.8481149451763,"noise=0.1,s=10.0"
2026-05-03 23:12:43,Exp2_Noise_Robustness,Ellipse,Interpolation,0.006612492042739437,0.04125423460495406,0.00983897833327821,0.005650298200486009,0.11478235825886308,0.00030500512753305065,1.674643158825274,14.036265117935194,noise=0.02
2026-05-03 23:12:43,Exp2_Noise_Robustness,Ellipse,Smooth_Fitting,0.06414920620116316,0.041650891542571816,0.13111533344731585,0.05127152053875455,0.08118478818230306,3.322755867470939e-05,0.5143563405210981,2.200358378997,"noise=0.02,s=0.2"
2026-05-03 23:12:43,Exp2_Noise_Robustness,Ellipse,Interpolation,0.007207025179700774,0.0909287594221817,0.014985428469750213,0.005918900995039385,0.364244718476659,0.00494377738281963,17.084747369531073,181.27067727324507,noise=0.05
2026-05-03 23:12:43,Exp2_Noise_Robustness,Ellipse,Smooth_Fitting,0.1116336266362096,0.09753388438600008,0.21497102618879696,0.09200281129450644,0.23700580079416708,8.1147912249686e-05,0.8301235105299803,3.542527988007044,"noise=0.05,s=0.5"
2026-05-03 23:12:43,Exp2_Noise_Robustness,Ellipse,Interpolation,0.00925904668068572,0.15066534081700494,0.02412191453108955,0.006959319392301539,0.7069939286035831,0.01761539169650827,15.544882915093265,163.65904509168374,noise=0.1
2026-05-03 23:12:43,Exp2_Noise_Robustness,Ellipse,Smooth_Fitting,0.15444667394998346,0.08755595368536373,0.25511444579526255,0.13634287932318317,0.6252926303496152,0.002967708330467199,57.75841064243403,950.7851123769041,"noise=0.1,s=1.0"
